[Profiler] Pipeline IA tomo: 3.704 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7197 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0538 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.0325 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5987 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6569 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5635 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 8.1424 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8356 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6728 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5686 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.6125 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.9397 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7098 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5725 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3891 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.1706 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.4764 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0071 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3559 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.5172 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1113 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9652 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9062 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.1237 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6759 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.3696 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.0101 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4711 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.2144 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5223 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1246 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1097 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 8.3881 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8816 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.0391 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3323 ms | Denoise: ON | VSR (0)
